item_id,item_name,sku,opening_stock,quantity_in,quantity_out,closing_stock,purchase_account_name,sku
2968232000000088860,Boys Coats 12 months,BOY-COT-012M,6.00,0.00,0.00,6.00,Cost of Goods Sold,BOY-COT-012M
2968232000000088871,Boys Coats 18 months,BOY-COT-018M,14.00,0.00,0.00,14.00,Cost of Goods Sold,BOY-COT-018M
2968232000000088882,Boys Coats 24 months/2T,BOY-COT-02T,28.00,0.00,0.00,28.00,Cost of Goods Sold,BOY-COT-02T
2968232000000088893,Boys Coats 3T,BOY-COT-03T,21.00,0.00,0.00,21.00,Cost of Goods Sold,BOY-COT-03T
2968232000000088904,Boys Coats 4T,BOY-COT-04T,55.00,0.00,0.00,55.00,Cost of Goods Sold,BOY-COT-04T
2968232000000088915,Boys Coats 5T/5,BOY-COT-05T,44.00,1.00,0.00,45.00,Cost of Goods Sold,BOY-COT-05T
2968232000000088926,Boys Coats 6,BOY-COT-06,9.00,0.00,0.00,9.00,Cost of Goods Sold,BOY-COT-06
2968232000000088937,Boys Coats 7 (Small),BOY-COT-07,49.00,2.00,0.00,51.00,Cost of Goods Sold,BOY-COT-07
2968232000000088948,Boys Coats 8 (Small),BOY-COT-08,16.00,0.00,0.00,16.00,Cost of Goods Sold,BOY-COT-08
2968232000000088959,Boys Coats 10 (Med),BOY-COT-10,4.00,3.00,1.00,6.00,Cost of Goods Sold,BOY-COT-10
2968232000000088970,Boys Coats 12 (Med),BOY-COT-12,1.00,0.00,1.00,0.00,Cost of Goods Sold,BOY-COT-12
2968232000000088981,Boys Coats 14 (Large),BOY-COT-14,21.00,0.00,2.00,19.00,Cost of Goods Sold,BOY-COT-14
2968232000000088992,Boys Coats 16 (Large),BOY-COT-16,0.00,1.00,1.00,0.00,Cost of Goods Sold,BOY-COT-16
2968232000000089003,Boys Coats 18 (XL),BOY-COT-18,1.00,0.00,0.00,1.00,Cost of Goods Sold,BOY-COT-18
2968232000000089014,Boys Coats 20 (XL),BOY-COT-20,2.00,0.00,0.00,2.00,Cost of Goods Sold,BOY-COT-20
2968232000000089025,Girls Bottoms 0-3 months,GRL-BOT-000M,136.00,0.00,0.00,136.00,Cost of Goods Sold,GRL-BOT-000M
2968232000000089036,Girls Bottoms 3-6 months,GRL-BOT-003M,295.00,0.00,4.00,291.00,Cost of Goods Sold,GRL-BOT-003M
2968232000000089047,Girls Bottoms 6-9 months,GRL-BOT-006M,296.00,0.00,0.00,296.00,Cost of Goods Sold,GRL-BOT-006M
2968232000000089058,Girls Bottoms 9-12 months,GRL-BOT-009M,194.00,0.00,0.00,194.00,Cost of Goods Sold,GRL-BOT-009M
2968232000000089069,Girls Bottoms 12 months,GRL-BOT-012M,363.00,0.00,0.00,363.00,Cost of Goods Sold,GRL-BOT-012M
2968232000000089080,Girls Bottoms 18 months,GRL-BOT-018M,358.00,0.00,5.00,353.00,Cost of Goods Sold,GRL-BOT-018M
2968232000000089091,Girls Bottoms 24 months/2T,GRL-BOT-02T,316.00,0.00,3.00,313.00,Cost of Goods Sold,GRL-BOT-02T
2968232000000089102,Girls Bottoms 3T,GRL-BOT-03T,323.00,0.00,8.00,315.00,Cost of Goods Sold,GRL-BOT-03T
2968232000000089113,Girls Bottoms 4T,GRL-BOT-04T,498.00,0.00,0.00,498.00,Cost of Goods Sold,GRL-BOT-04T
2968232000000089124,Girls Bottoms 5T/5 Slim,GRL-BOT-05TS,-1.00,0.00,5.00,-6.00,Cost of Goods Sold,GRL-BOT-05TS
2968232000000089135,Girls Bottoms 5T/5,GRL-BOT-05T,101.00,9.00,11.00,99.00,Cost of Goods Sold,GRL-BOT-05T
2968232000000089146,Girls Bottoms 5T/5 Plus,GRL-BOT-05TP,10.00,0.00,0.00,10.00,Cost of Goods Sold,GRL-BOT-05TP
2968232000000089157,Girls Bottoms 6 Slim,GRL-BOT-06S,-4.00,0.00,0.00,-4.00,Cost of Goods Sold,GRL-BOT-06S
2968232000000089168,Girls Bottoms 6,GRL-BOT-06,323.00,4.00,11.00,316.00,Cost of Goods Sold,GRL-BOT-06
2968232000000089179,Girls Bottoms 6 Plus,GRL-BOT-06P,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,GRL-BOT-06P
2968232000000089190,Girls Bottoms 7 (Small) Slim,GRL-BOT-07S,0.00,0.00,0.00,0.00,Cost of Goods Sold,GRL-BOT-07S
2968232000000089201,Girls Bottoms 7 (Small),GRL-BOT-07,459.00,6.00,11.00,454.00,Cost of Goods Sold,GRL-BOT-07
2968232000000089212,Girls Bottoms 7 (Small) Plus,GRL-BOT-07P,0.00,0.00,0.00,0.00,Cost of Goods Sold,GRL-BOT-07P
2968232000000089223,Girls Bottoms 8 (Small) Slim,GRL-BOT-08S,-3.00,0.00,0.00,-3.00,Cost of Goods Sold,GRL-BOT-08S
2968232000000089234,Girls Bottoms 8 (Small),GRL-BOT-08,87.00,4.00,11.00,80.00,Cost of Goods Sold,GRL-BOT-08
2968232000000089245,Girls Bottoms 8 (Small) Plus,GRL-BOT-08P,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,GRL-BOT-08P
